distrito_nombre,seccion_nombre,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
Tucumán,La Cocha,82,324,1218,4317,7961
Tucumán,Leales,275,992,5262,11221,23924
Tucumán,Lules,495,1918,5859,18228,20199
Tucumán,Monteros,449,1705,4300,13817,27605
Tucumán,Río Chico,373,1313,3504,11107,25969
Tucumán,Simoca,134,561,2053,6006,15310
Tucumán,Tafí Viejo,1784,4961,12111,41138,40079
Tucumán,Tafí del Valle,194,448,1098,3932,7003
Tucumán,Trancas,106,453,1236,4982,6585
Tucumán,Yerba Buena,961,3059,17790,22472,19062
